Movie Name,Release Period,Genre,New Music Director,Number of Screens,Revenue(INR),Budget(INR),Timing(min),Rating(10),Votes,Language,Profit(INR),ROI
apna sapna money money,normal,comedy,no,450,95000000,207325000,134.0,5.3,1892.0,hindi,-112325000,0.4582177740262872
sunday,holiday,comedy,no,900,220000000,319615000,135.0,5.3,2592.0,hindi,-99615000,0.6883281447992116
highway,holiday,drama,no,750,250000000,477065000,133.0,7.6,26801.0,hindi,-227065000,0.5240376049385304
golmaal returns,holiday,comedy,yes,1250,350000000,800080000,135.0,5.1,7115.0,hindi,-450080000,0.4374562543745625
that girl in yellow boots,normal,drama,yes,200,40000000,27100000,103.0,6.6,3574.0,kannada,12900000,1.4760147601476017
desi kattey,normal,action,no,1150,120000000,25200000,139.0,4.0,125.0,hindi,94800000,4.761904761904762
gollu aur pappu,holiday,comedy,no,15,35000000,65000,112.0,3.7,101.0,hindi,34935000,538.4615384615385
love you to death,holiday,drama,yes,35,20000000,525000,102.0,5.3,7.0,hindi,19475000,38.095238095238095
maharathi,normal,drama,yes,300,95000000,28000000,114.0,7.1,967.0,hindi,67000000,3.392857142857143
the dirty picture,normal,drama,no,1600,310000000,1169997500,145.0,6.6,8815.0,tamil,-859997500,0.2649578311064767
neerja,holiday,drama,yes,1000,280000000,1187190000,122.0,7.7,21192.0,hindi,-907190000,0.2358510432197036
the train,normal,thriller,yes,325,77500000,71718750,138.0,6.4,148.0,hindi,5781250,1.0806100217864925
zid,normal,thriller,no,1200,100000000,81500000,126.0,4.4,1066.0,hindi,18500000,1.2269938650306749
"i, me aur main",normal,romance,no,975,200000000,137885000,108.0,4.6,1807.0,hindi,62115000,1.450484099068064
kalyug,normal,drama,no,225,40000000,102622000,152.0,7.8,493.0,hindi,-62622000,0.3897799692073824
chand sa roshan chehra,holiday,romance,no,60,15000000,5252500,120.0,4.8,52.0,hindi,9747500,2.8557829604950022
phata poster nikhla hero,normal,comedy,no,1900,470000000,633060000,146.0,4.8,4423.0,hindi,-163060000,0.7424256784506997
drishyam,normal,thriller,no,2250,620000000,1104260000,160.0,8.3,34691.0,malayalam,-484260000,0.5614619745349827
sonali cable,normal,drama,no,525,77500000,11100000,127.0,5.4,970.0,hindi,66400000,6.981981981981982
bombay to bangkok,normal,comedy,no,175,70000000,27200000,120.0,4.6,415.0,hindi,42800000,2.573529411764706
paapi - ek satya katha,holiday,drama,no,200,15000000,1875000,115.0,3.8,27.0,bengali,13125000,8.0
khatta meetha,normal,comedy,no,1450,350000000,627920000,157.0,5.7,9698.0,hindi,-277920000,0.557395846604663
yaariyan,normal,romance,no,1400,210000000,524050000,164.0,6.2,68.0,punjabi,-314050000,0.4007251216486976
sharafat gayi tel lene,normal,comedy,yes,450,70000000,5700000,108.0,4.9,272.0,hindi,64300000,12.280701754385966
heropanti,normal,action,yes,2200,250000000,726075000,146.0,5.3,8222.0,hindi,-476075000,0.3443170471370037
barah aana,normal,drama,no,125,45000000,8600000,97.0,6.8,1145.0,hindi,36400000,5.232558139534884
ahista ahista,holiday,romance,no,200,40000000,23100000,122.0,7.0,1474.0,hindi,16900000,1.7316017316017316
lipstick under my burkha,normal,drama,yes,500,70000000,215600000,117.0,6.8,6288.0,hindi,-145600000,0.3246753246753247
hate story 3,normal,thriller,yes,2600,200000000,622125000,126.0,4.5,2996.0,hindi,-422125000,0.3214788024914607
login,normal,thriller,yes,10,20000000,275000,125.0,6.1,99.0,hindi,19725000,72.72727272727273
housefull,holiday,comedy,no,1700,470000000,1163035000,144.0,5.4,12948.0,gujarati,-693035000,0.4041150954184526
thoda pyaar thoda magic,normal,drama,no,750,230000000,372530000,145.0,4.9,2355.0,hindi,-142530000,0.6173999409443535
hostel,normal,drama,yes,60,22500000,1700000,135.0,6.0,39.0,nepali,20800000,13.235294117647058
sadda adda,holiday,drama,no,175,27500000,4700000,130.0,7.1,1332.0,hindi,22800000,5.851063829787234
black,normal,drama,no,235,230000000,409370000,137.0,4.2,56.0,bengali,-179370000,0.5618389232234897
humko deewana kar gaye,holiday,romance,no,475,170000000,273650000,155.0,5.2,3941.0,hindi,-103650000,0.6212315000913575
aryan,normal,drama,no,125,70000000,13400000,113.0,4.8,30.0,kannada,56600000,5.223880597014926
chamku,normal,action,no,425,100000000,30967500,105.0,4.0,524.0,punjabi,69032500,3.2291918947283444
shortcut romeo,normal,thriller,no,750,140000000,13600000,146.0,2.3,248.0,hindi,126400000,10.294117647058824
haseena,normal,thriller,yes,5,15000000,675000,90.0,8.1,33.0,kannada,14325000,22.22222222222222
aao wish karein,normal,drama,yes,70,57500000,1700000,140.0,5.0,580.0,hindi,55800000,33.8235294117647
luv ka the end,holiday,drama,no,450,85000000,79200000,106.0,4.8,1421.0,hindi,5800000,1.073232323232323
ghajini,holiday,action,no,1550,520000000,1945820000,186.0,7.3,57025.0,urdu,-1425820000,0.2672395185577289
hum tum shabana,holiday,comedy,no,475,120000000,19200000,126.0,3.6,289.0,hindi,100800000,6.25
partner,normal,comedy,no,1100,280000000,1009115000,145.0,5.7,41.0,bengali,-729115000,0.2774708531733251
cheeni kum,normal,romance,no,250,110000000,322200000,140.0,6.8,4953.0,hindi,-212200000,0.3414028553693358
janani,normal,drama,yes,15,15000000,300000,124.0,4.4,28.0,hindi,14700000,50.0
commando,holiday,action,yes,1500,170000000,269800000,149.0,4.2,169.0,hindi,-99800000,0.6300963676797627
noor,normal,drama,yes,1450,240000000,118452500,117.0,4.0,1414.0,hindi,121547500,2.026128616956164
mausam,normal,romance,no,1750,490000000,536765000,161.0,4.7,5233.0,punjabi,-46765000,0.9128762121226236
jab tak hai jaan,holiday,romance,no,2450,780000000,2102642500,176.0,6.7,51634.0,hindi,-1322642500,0.3709617778581
cash,normal,thriller,no,1000,320000000,293005000,137.0,3.4,1844.0,urdu,26995000,1.0921315335915769
gippi,normal,drama,no,375,60000000,57500000,95.0,5.6,787.0,hindi,2500000,1.0434782608695652
hero,normal,romance,yes,2100,360000000,481812500,145.0,3.5,2326.0,hindi,-121812500,0.747178622389415
game,holiday,thriller,no,1100,340000000,128792500,140.0,6.5,6.0,bengali,211207500,2.6399052739872273
game,holiday,thriller,no,1100,340000000,128792500,140.0,6.5,6.0,bengali,211207500,2.6399052739872273
singh saab the great,holiday,action,yes,2000,420000000,328987500,134.0,5.6,2185.0,punjabi,91012500,1.276644249401573
shabd,normal,drama,no,250,95000000,107012500,140.0,5.1,1350.0,hindi,-12012500,0.8877467585562434
haseena,normal,thriller,yes,5,15000000,675000,135.0,4.4,92.0,hindi,14325000,22.22222222222222
aarakshan,holiday,drama,no,1500,530000000,645292500,164.0,6.2,5109.0,hindi,-115292500,0.8213329614089735
contract,normal,thriller,no,350,75000000,36400000,117.0,4.0,229.0,urdu,38600000,2.06043956043956
rascals,holiday,comedy,no,1850,460000000,510181250,128.0,2.9,2646.0,hindi,-50181250,0.9016403484055912
nasha,normal,drama,no,1100,80000000,43100000,122.0,3.2,1202.0,hindi,36900000,1.8561484918793505
tamasha,normal,drama,no,2050,870000000,1366387500,127.0,7.6,38.0,hindi,-496387500,0.6367154266267805
dum laga ke haisha,normal,comedy,no,775,140000000,414537500,110.0,7.5,18313.0,hindi,-274537500,0.3377257787293067
zed plus,normal,drama,no,350,55000000,7700000,141.0,6.4,438.0,hindi,47300000,7.142857142857143
khoya khoya chand,normal,drama,no,150,55000000,29467250,131.0,6.3,523.0,punjabi,25532750,1.866478887578583
highway,holiday,drama,no,750,250000000,477065000,80.0,6.5,208.0,nepali,-227065000,0.5240376049385304
kidnap,holiday,thriller,no,875,310000000,356060000,130.0,5.1,212.0,punjabi,-46060000,0.8706397798123912
love breakups zindagi,normal,romance,no,325,100000000,20600000,156.0,5.8,1000.0,punjabi,79400000,4.854368932038835
thank you,normal,comedy,no,1800,610000000,710232500,125.0,4.7,5357.0,hindi,-100232500,0.8588736786897249
shaadi se pehle,normal,romance,no,350,110000000,168865000,122.0,4.1,730.0,hindi,-58865000,0.6514079294110681
one two three,normal,comedy,no,575,140000000,273600000,135.0,5.3,2473.0,hindi,-133600000,0.5116959064327485
amdavad junction,normal,thriller,yes,85,5000000,350000,95.0,4.4,16.0,hindi,4650000,14.285714285714286
ekk deewana tha,holiday,romance,no,600,140000000,85557500,136.0,5.9,2927.0,hindi,54442500,1.6363264471262016
guru,holiday,drama,no,650,220000000,836710000,162.0,5.5,70.0,hindi,-616710000,0.2629345890451889
madras cafe,normal,thriller,no,1050,350000000,675640000,130.0,7.7,23083.0,hindi,-325640000,0.5180273518441774
stanley ka dabba,normal,drama,yes,250,45000000,76300000,96.0,7.8,6359.0,hindi,-31300000,0.5897771952817824
f.a.l.t.u,holiday,comedy,no,1200,200000000,329200000,120.0,4.6,2943.0,punjabi,-129200000,0.6075334143377886
i hate luv storys,normal,romance,yes,1050,230000000,739957500,129.0,5.6,7603.0,hindi,-509957500,0.3108286624569654
dil dhadakne do,normal,drama,no,2300,830000000,1447987500,170.0,6.9,15377.0,hindi,-617987500,0.5732093681747943
fanaa,normal,romance,no,650,300000000,1054800000,168.0,7.2,31167.0,hindi,-754800000,0.2844141069397042
luck by chance,holiday,drama,no,600,180000000,216075000,156.0,7.1,9587.0,hindi,-36075000,0.8330440819160014
baaghi,holiday,action,no,2750,370000000,1269662500,156.0,4.2,202.0,hindi,-899662500,0.2914160259123979
shirin farhad ki toh nikal padi,normal,romance,no,650,190000000,198675000,111.0,4.2,1017.0,hindi,-8675000,0.9563357241726438
striker,holiday,drama,yes,200,110000000,12300000,128.0,6.9,1013.0,urdu,97700000,8.94308943089431
dhoom 2,holiday,action,no,1000,420000000,1513890000,152.0,6.5,24203.0,hindi,-1093890000,0.2774309890414759
filmistaan,normal,comedy,yes,450,75000000,99940000,117.0,7.3,3333.0,hindi,-24940000,0.7504502701620973
hindi medium,normal,comedy,no,1050,230000000,918550000,132.0,7.8,23912.0,hindi,-688550000,0.2503946437319688
mere haule dost,normal,comedy,yes,10,7500000,200000,112.0,6.7,26.0,hindi,7300000,37.5
bangistan,normal,comedy,no,700,290000000,83025000,135.0,4.5,1143.0,hindi,206975000,3.4929238181270703
contract,normal,thriller,no,350,75000000,36400000,117.0,4.0,229.0,hindi,38600000,2.06043956043956
ghayal once again,normal,action,no,2300,500000000,453563750,127.0,6.3,4924.0,hindi,46436250,1.102380867077671
wafaa,normal,drama,no,55,20000000,4800000,110.0,3.8,11.0,hindi,15200000,4.166666666666667
gandhi to hitler,normal,drama,no,150,47500000,3450000,108.0,2.5,205.0,urdu,44050000,13.768115942028986
i am,holiday,drama,no,75,17500000,6700000,95.0,6.8,930.0,urdu,10800000,2.611940298507463
band baaja baaraat,normal,romance,no,675,150000000,333000000,139.0,7.2,15361.0,punjabi,-183000000,0.4504504504504504
bittoo boss,holiday,romance,no,675,100000000,27200000,116.0,4.1,362.0,hindi,72800000,3.676470588235294
chand bujh gaya,normal,romance,yes,20,17500000,1552500,116.0,6.9,51.0,hindi,15947500,11.272141706924316
ab tak chhappan 2,normal,drama,no,1450,180000000,93600000,106.0,5.8,1324.0,hindi,86400000,1.9230769230769231
saawariya,holiday,romance,yes,850,450000000,391330000,142.0,5.2,7372.0,hindi,58670000,1.1499246160529475
honeymoon travels pvt. ltd.,normal,romance,no,350,100000000,195160000,118.0,6.1,2364.0,hindi,-95160000,0.5124000819840131
jackpot,normal,thriller,yes,1200,270000000,59200000,150.0,7.1,23.0,urdu,210800000,4.5608108108108105
hawaizaada,normal,drama,no,900,340000000,55900000,148.0,5.5,1725.0,hindi,284100000,6.082289803220036
sikandar,holiday,thriller,no,250,50000000,8240000,110.0,6.4,261.0,hindi,41760000,6.067961165048544
men not allowed,normal,drama,yes,18,8500000,3350000,115.0,3.6,37.0,hindi,5150000,2.537313432835821
milenge milenge,normal,romance,no,775,120000000,126225000,109.0,4.1,1724.0,hindi,-6225000,0.95068330362448
raqeeb,normal,thriller,no,190,62500000,17822500,124.0,4.2,281.0,hindi,44677500,3.506803198204517
good luck,normal,romance,no,25,20000000,525000,142.0,3.9,14.0,tamil,19475000,38.095238095238095
vaada,normal,thriller,no,285,80000000,95300000,122.0,5.6,816.0,hindi,-15300000,0.8394543546694648
greater elephant,holiday,drama,yes,3,3000000,72000,90.0,5.7,47.0,hindi,2928000,41.666666666666664
bodyguard,holiday,action,no,2750,700000000,2343900000,150.0,5.1,383.0,telugu,-1643900000,0.2986475532232603
dor,normal,drama,no,100,30000000,38100000,147.0,7.9,5729.0,oriya,-8100000,0.7874015748031497
kasak,holiday,drama,no,75,15000000,5100000,150.0,5.2,26.0,hindi,9900000,2.9411764705882355
fukrey,normal,comedy,no,1000,190000000,490175000,139.0,6.9,10616.0,hindi,-300175000,0.3876166675167032
let's dance,normal,drama,yes,70,45000000,750000,125.0,5.7,19.0,hindi,44250000,60.0
mirch,holiday,comedy,no,150,37500000,12600000,105.0,6.5,852.0,hindi,24900000,2.9761904761904763
barefoot to goa,normal,drama,yes,25,6000000,420000,80.0,5.7,147.0,hindi,5580000,14.285714285714286
gandhi to hitler,normal,drama,no,150,47500000,3450000,108.0,2.5,205.0,hindi,44050000,13.768115942028986
time pass,normal,comedy,no,45,12500000,5300000,88.0,4.2,34.0,hindi,7200000,2.358490566037736
myoho,normal,drama,yes,25,12500000,315000,120.0,6.5,13.0,hindi,12185000,39.68253968253968
namastey london,normal,romance,no,775,310000000,714102500,128.0,7.1,20744.0,hindi,-404102500,0.4341113495611624
vroom,normal,comedy,no,75,40000000,750000,130.0,5.4,29.0,hindi,39250000,53.333333333333336
the film emotional atyachar,normal,drama,yes,300,60000000,11000000,87.0,6.0,290.0,hindi,49000000,5.454545454545454
mohandas,normal,thriller,yes,35,17500000,650000,112.0,6.7,118.0,hindi,16850000,26.923076923076923
ramaiya vastavaiya,normal,romance,no,1400,380000000,383420000,148.0,5.7,3453.0,hindi,-3420000,0.9910802775024776
saheb biwi aur gangster returns,holiday,thriller,no,1350,190000000,288013750,142.0,6.8,3829.0,hindi,-98013750,0.6596907265712141
prem ratan dhan payo,holiday,drama,no,4200,1800000000,3654575000,164.0,4.4,17724.0,hindi,-1854575000,0.4925333315091358
zeher,holiday,thriller,no,275,50000000,110631250,132.0,5.4,1908.0,hindi,-60631250,0.451951867126151
qasam se qasam se,normal,romance,yes,100,20000000,3050000,145.0,4.0,18.0,hindi,16950000,6.557377049180328
mohenjo daro,holiday,drama,no,2700,1380000000,1040750000,155.0,5.7,10727.0,hindi,339250000,1.3259668508287292
road to sangam,normal,drama,no,60,30000000,900000,135.0,7.4,752.0,hindi,29100000,33.333333333333336
game,holiday,thriller,no,1100,340000000,128792500,130.0,5.0,1091.0,telugu,211207500,2.6399052739872273
game,holiday,thriller,no,1100,340000000,128792500,130.0,5.0,1091.0,telugu,211207500,2.6399052739872273
the film emotional atyachar,normal,drama,yes,300,60000000,11000000,87.0,6.0,290.0,gujarati,49000000,5.454545454545454
bumm bumm bole,normal,drama,yes,325,70000000,13400000,124.0,6.0,590.0,hindi,56600000,5.223880597014926
kaal,holiday,thriller,no,450,130000000,331175000,126.0,4.6,4976.0,hindi,-201175000,0.3925417075564278
my friend ganesha,normal,drama,yes,100,22500000,15900000,190.0,4.6,149.0,hindi,6600000,1.4150943396226414
zubaan,holiday,drama,yes,350,80000000,5200000,115.0,6.1,395.0,hindi,74800000,15.384615384615383
krrish 3,holiday,action,no,3500,950000000,2915240000,152.0,5.2,20956.0,hindi,-1965240000,0.3258736844993894
accident on hill road,holiday,thriller,no,75,35000000,1950000,105.0,4.0,283.0,bhojpuri,33050000,17.94871794871795
sandwich,holiday,comedy,no,90,100000000,6800000,152.0,5.4,811.0,hindi,93200000,14.705882352941176
bubble gum,normal,drama,no,50,17500000,1150000,116.0,7.4,441.0,bhojpuri,16350000,15.217391304347826
dedh ishqiya,normal,romance,no,1250,370000000,408370000,152.0,7.1,6934.0,urdu,-38370000,0.90604109018782
oye lucky! lucky oye!,normal,comedy,no,400,120000000,100620000,125.0,7.7,16481.0,hindi,19380000,1.1926058437686344
tell me o kkhuda,holiday,drama,no,325,160000000,12300000,125.0,2.5,345.0,hindi,147700000,13.008130081300813
rajjo,holiday,drama,no,425,110000000,11900000,123.0,2.3,416.0,hindi,98100000,9.243697478991596
faraar,normal,action,no,25,15000000,425000,136.0,6.9,308.0,hindi,14575000,35.294117647058826
my wife's murder,holiday,thriller,no,100,47500000,30822500,103.0,6.1,883.0,hindi,16677500,1.541082001784411
ek ajnabee,normal,action,no,325,120000000,123040000,142.0,5.2,1590.0,hindi,-3040000,0.9752925877763328
khoobsurat,normal,romance,no,1150,230000000,506715000,153.0,5.3,755.0,hindi,-276715000,0.4539040683618996
nazar,holiday,thriller,no,175,37500000,42379500,138.0,4.0,125.0,hindi,-4879500,0.8848617845892471
zanjeer,holiday,action,no,2050,600000000,221475000,137.0,3.2,2387.0,hindi,378525000,2.7091093802912294
rajdhani express,normal,thriller,yes,275,65000000,4000000,140.0,2.9,257.0,hindi,61000000,16.25
baaghi,holiday,action,no,2750,370000000,1269662500,133.0,5.2,7695.0,hindi,-899662500,0.2914160259123979
hate story,normal,thriller,yes,1100,90000000,164300000,140.0,5.3,3463.0,hindi,-74300000,0.5477784540474742
baaghi,holiday,action,no,2750,370000000,1269662500,42.0,8.2,254.0,urdu,-899662500,0.2914160259123979
lanka,normal,drama,no,375,80000000,5900000,107.0,5.8,200.0,hindi,74100000,13.559322033898304
do dooni chaar,normal,comedy,yes,325,60000000,57900000,112.0,7.6,5163.0,hindi,2100000,1.0362694300518134
all is well,normal,drama,no,1650,340000000,230320000,126.0,3.8,1500.0,hindi,109680000,1.4762070163251129
